day,server_name,key,total_count,number_of_player,proportion
4,13,KilledBy,720,1945,0.37017994858611825
4,13,Logins,6133,1945,3.1532133676092546
4,14,BlockBreak,26086,178,146.5505617977528
4,14,BlockPlace,8474,178,47.60674157303371
4,14,Chat,35,178,0.19662921348314608
4,14,CraftedItems,844,178,4.741573033707865
4,14,Death,169,178,0.949438202247191
4,14,Kicks,17,178,0.09550561797752809
4,14,KilledBy,95,178,0.5337078651685393
4,14,Logins,294,178,1.651685393258427
5,1,BlockBreak,103040,681,151.30690161527167
5,1,BlockPlace,49334,681,72.44346549192365
5,1,Chat,4150,681,6.093979441997063
5,1,Death,4730,681,6.945668135095448
5,1,Kicks,55,681,0.08076358296622614
5,1,KilledBy,3701,681,5.434654919236417
5,1,Logins,2199,681,3.2290748898678414
5,3,BlockBreak,161686,645,250.67596899224807
5,3,BlockPlace,241981,645,375.1643410852713
5,3,Chat,379,645,0.5875968992248062
5,3,Death,380,645,0.5891472868217055
5,3,Kicks,42,645,0.06511627906976744
5,3,KilledBy,211,645,0.3271317829457364
5,3,Logins,1795,645,2.7829457364341086
5,4,BlockBreak,3922,129,30.4031007751938
5,4,BlockPlace,2174,129,16.852713178294575
5,4,Chat,53,129,0.4108527131782946
5,4,Death,38,129,0.29457364341085274
5,4,Kicks,5,129,0.03875968992248062
5,4,KilledBy,17,129,0.13178294573643412
5,4,Logins,207,129,1.6046511627906976
5,5,BlockBreak,15325,240,63.854166666666664
5,5,BlockPlace,12722,240,53.00833333333333
5,5,Chat,88,240,0.36666666666666664
5,5,Death,643,240,2.6791666666666667
5,5,Kicks,37,240,0.15416666666666667
5,5,KilledBy,211,240,0.8791666666666667
5,5,Logins,495,240,2.0625
5,6,BlockBreak,58941,190,310.2157894736842
5,6,BlockPlace,37888,190,199.41052631578947
5,6,Chat,603,190,3.1736842105263157
5,6,CraftedItems,1180,190,6.2105263157894735
5,6,Death,305,190,1.605263157894737
5,6,Kicks,11,190,0.05789473684210526
5,6,KilledBy,116,190,0.6105263157894737
5,6,Logins,604,190,3.1789473684210527
5,7,BlockBreak,4648,76,61.1578947368421
5,7,BlockPlace,2174,76,28.605263157894736
5,7,Chat,1,76,0.013157894736842105
5,7,CraftedItems,182,76,2.3947368421052633
5,7,Death,16,76,0.21052631578947367
5,7,Kicks,3,76,0.039473684210526314
5,7,KilledBy,5,76,0.06578947368421052
5,7,Logins,175,76,2.3026315789473686
5,8,BlockBreak,30975,640,48.3984375
5,8,BlockPlace,13907,640,21.7296875
5,8,Chat,269,640,0.4203125
5,8,CraftedItems,1056,640,1.65
5,8,Death,183,640,0.2859375
5,8,Kicks,118,640,0.184375
5,8,KilledBy,113,640,0.1765625
5,8,Logins,958,640,1.496875
5,9,BlockBreak,19142,209,91.58851674641149
5,9,BlockPlace,19187,209,91.80382775119617
5,9,Chat,381,209,1.8229665071770336
5,9,CraftedItems,704,209,3.3684210526315788
5,9,Death,360,209,1.722488038277512
5,9,Kicks,13,209,0.06220095693779904
5,9,KilledBy,117,209,0.5598086124401914
5,9,Logins,492,209,2.354066985645933
5,10,BlockBreak,20384,171,119.2046783625731
5,10,BlockPlace,19539,171,114.26315789473684
5,10,Chat,51,171,0.2982456140350877
5,10,CraftedItems,1039,171,6.076023391812866
5,10,Death,164,171,0.9590643274853801
5,10,Kicks,15,171,0.08771929824561403
5,10,KilledBy,72,171,0.42105263157894735
5,10,Logins,338,171,1.976608187134503
5,11,BlockBreak,13512,304,44.44736842105263
5,11,BlockPlace,7348,304,24.17105263157895
5,11,Chat,8,304,0.02631578947368421
5,11,CraftedItems,393,304,1.292763157894737
5,11,Death,178,304,0.5855263157894737
5,11,Kicks,8,304,0.02631578947368421
5,11,KilledBy,100,304,0.32894736842105265
5,11,Logins,351,304,1.1546052631578947
5,12,BlockBreak,285316,883,323.1211778029445
5,12,BlockPlace,124039,883,140.4745186862967
5,12,Chat,2709,883,3.0679501698754246
5,12,CraftedItems,5976,883,6.767836919592299
5,12,Death,6565,883,7.434881087202718
5,12,Kicks,139,883,0.15741789354473387
5,12,KilledBy,5358,883,6.067950169875425
5,12,Logins,2938,883,3.3272933182332958
5,13,BlockBreak,308456,1319,233.8559514783927
5,13,BlockPlace,174310,1319,132.15314632297193
5,13,Chat,2746,1319,2.081880212282032
5,13,CraftedItems,13145,1319,9.965883244882487
5,13,Death,1469,1319,1.1137225170583775
5,13,Kicks,68,1319,0.05155420773313116
5,13,KilledBy,788,1319,0.5974222896133434
5,13,Logins,3524,1319,2.67172100075815
5,14,BlockBreak,33007,163,202.49693251533742
5,14,BlockPlace,14353,163,88.05521472392638
5,14,Chat,84,163,0.5153374233128835
5,14,CraftedItems,913,163,5.601226993865031
5,14,Death,184,163,1.1288343558282208
5,14,Kicks,13,163,0.07975460122699386
5,14,KilledBy,65,163,0.3987730061349693
5,14,Logins,445,163,2.7300613496932513
6,1,BlockBreak,128403,699,183.6952789699571
6,1,BlockPlace,53595,699,76.67381974248927
6,1,Chat,3789,699,5.420600858369099
6,1,Death,3770,699,5.393419170243204
6,1,Kicks,56,699,0.08011444921316166
6,1,KilledBy,2945,699,4.213161659513591
6,1,Logins,2231,699,3.19170243204578
6,3,BlockBreak,174079,720,241.7763888888889
6,3,BlockPlace,297124,720,412.6722222222222
6,3,Chat,454,720,0.6305555555555555
6,3,Death,393,720,0.5458333333333333
6,3,Kicks,52,720,0.07222222222222222
6,3,KilledBy,244,720,0.3388888888888889
6,3,Logins,1937,720,2.6902777777777778
